id,cluster,x,y
BV003132717_0011,cluster1,0.9083503493114586,0.6309598995554863
BV003132717_0139,cluster1,0.918467295088548,0.5881653710852612
BV003132717_0155,cluster1,0.9103905729108716,0.6017352301624231
BV003132717_0175,cluster1,0.8999244483078553,0.6129692436444433
BV008972922_0225,cluster1,0.9901928106056016,0.4453443238642847
BV008972922_0229,cluster1,1.034765687428377,0.5018157782045745
BV008972922_0231,cluster1,1.037494659868288,0.4851472508773267
BV008972922_0233,cluster1,0.9426787279064464,0.5374195250141333
BV008972922_0235,cluster1,0.9558574529845306,0.5076972391182476
BV008972922_0237,cluster1,0.9655350274274812,0.4925189152105707
BV008972922_0239,cluster1,0.9643715193684984,0.5281426134576332
BV008972922_0241,cluster1,0.9870951068718692,0.4250378993886828
BV008972922_0243,cluster1,1.014278664511666,0.4360498799193765
BV008972922_0245,cluster1,1.0506756367298438,0.4519061830462735
BV008972922_0247,cluster1,1.0419183835524433,0.43691897310725397
BV008972922_0249,cluster1,1.0477430270789243,0.4199164796326896
BV008972922_0251,cluster1,1.0210334347163128,0.414329249876487
BV008972922_0253,cluster1,0.9941839234981636,0.4020904169599333
BV008972922_0257,cluster1,0.9362051162204946,0.4917754438254489
BV008972922_0259,cluster1,1.011800372622108,0.4584796066400096
BV008972922_0261,cluster1,0.914123646224708,0.4587950783123772
BV008972922_0263,cluster1,0.924410161664196,0.4411365280808253
BV008972922_0265,cluster1,0.9117980873121966,0.4272826007179309
BV008972922_0267,cluster1,0.8876174263292321,0.455636112942287
BV008972922_0269,cluster1,0.8950038782981943,0.4358825516489091
BV008972922_0275,cluster1,0.9848211564645168,0.5106315695568813
BV008972922_0277,cluster1,1.0118540572884338,0.4787325123924094
BV009474290_0053,cluster1,0.9138070066539844,0.6481454360103587
BV042324426_0001,cluster1,0.916681371237036,0.4857366514277132
BV003132717_0017,cluster2,0.08515748151695249,0.34014736004198365
BV003132717_0053,cluster2,0.06333867563022776,0.37408178076221704
BV003132717_0065,cluster2,0.11309366333105045,0.3901691320306184
BV003132717_0075,cluster2,0.09807833094020628,0.38684543253609305
BV008944838_0142,cluster2,0.11395383936393418,0.4714808383776094
BV008962194_0002,cluster2,0.1083712829997445,0.299704678966808
BV008962194_0003,cluster2,0.07302374371243522,0.3905008064797459
BV008962194_0005,cluster2,-0.01524996738709339,0.32531622075745603
